sep=,
"Eye Diagram"
"t0","dt","Y"
"0","4.9999999999999998E-08","[42]{0.369058985676134, 0.37943524095852, 0.390177717015577, 0.398814423618269, 0.404857066400364, 0.409617936471106, 0.412913923443158, 0.414195696154511, 0.415416432070085, 0.414378806541847, 0.41181526111914, 0.409617936471105, 0.406291431101165, 0.403239591312227, 0.399516346769725, 0.395548955044106, 0.391154305748038, 0.386271362085738, 0.381785157596001, 0.3774820634936, 0.374460742102553, 0.37220238065874, 0.368082396943675, 0.366892179425989, 0.366312329866091, 0.365152630746295, 0.363992931626499, 0.364847446767402, 0.364755891573734, 0.366495440253427, 0.366098701080866, 0.366556477049206, 0.366586995447096, 0.368387580922569, 0.369028467278245, 0.370096611204373, 0.370798534355829, 0.371164755130501, 0.371469939109395, 0.372782230218638, 0.372477046239744, 0.372080307067182}"
"0","4.9999999999999998E-08","[42]{0.372477046239744, 0.372080307067182, 0.373301042982757, 0.372751711820748, 0.371622531098842, 0.372141343862961, 0.371744604690399, 0.372263417454518, 0.373117932595421, 0.371927715077735, 0.37217186226085, 0.371866678281957, 0.372568601433412, 0.372446527841855, 0.372263417454519, 0.371836159884067, 0.371439420711506, 0.372354972648187, 0.372751711820748, 0.371042681538943, 0.372080307067182, 0.372538083035523, 0.37171408629251, 0.372538083035523, 0.372843267014416, 0.373301042982757, 0.373697782155318, 0.373880892542655, 0.373423116574314, 0.374308150113106, 0.374399705306774, 0.374613334092, 0.373941929338434, 0.373575708563761, 0.372293935852407, 0.37311793259542, 0.373972447736323, 0.373545190165871, 0.372538083035522, 0.373178969391199, 0.371866678281957, 0.372141343862961}"
"0","4.9999999999999998E-08","[42]{0.371866678281957, 0.372141343862961, 0.371439420711505, 0.371836159884067, 0.371744604690399, 0.372477046239744, 0.372385491046076, 0.372843267014416, 0.373301042982757, 0.374552297296221, 0.373484153370093, 0.37412503972577, 0.372965340605974, 0.372019270271403, 0.373087414197531, 0.373056895799642, 0.372110825465072, 0.372293935852408, 0.371927715077735, 0.371653049496731, 0.370859571151607, 0.370829052753718, 0.371012163141054, 0.371286828722058, 0.371958233475625, 0.371805641486178, 0.371683567762375, 0.37189719080925, 0.37214133143425, 0.372568601433412, 0.373056895799642, 0.371408902313616, 0.371592012700953, 0.371805641486178, 0.372141343862961, 0.37119527352839, 0.371134236732611, 0.370798534355828, 0.370706979162161, 0.370401795183267, 0.371073199936833, 0.37119527352839}"
"0","4.9999999999999998E-08","[42]{0.371073199936833, 0.37119527352839, 0.371622531098841, 0.37266015662708, 0.373209487789089, 0.37458281569411, 0.37510162845823, 0.375406812437123, 0.376841177137924, 0.377176879514706, 0.377237916310485, 0.377939839461941, 0.3774820634936, 0.377909321064051, 0.376810658740034, 0.377146361116817, 0.376413919567473, 0.375437330835013, 0.373880892542655, 0.373026377401752, 0.370493350376935, 0.369333651257138, 0.366556477049206, 0.364755891573734, 0.362070272559469, 0.359445690340983, 0.356454887347825, 0.354196525904012, 0.351449870093969, 0.348275956713474, 0.345376708913984, 0.343393013051176, 0.339395102927668, 0.336007560761948, 0.334268012082254, 0.331734985057437, 0.329568178807292, 0.327859148525487, 0.324349532768209, 0.322793094475852, 0.321541840162388, 0.319802291482693}"
"0","4.9999999999999998E-08","[42]{0.321541840162388, 0.319802291482693, 0.317818595619885, 0.315377123788735, 0.314461571852054, 0.312966170355475, 0.311806471235679, 0.309151370619304, 0.306526788400818, 0.305245015689465, 0.304939831710571, 0.302132139104749, 0.302620433470979, 0.302895099051983, 0.302223694298417, 0.304115834967558, 0.305763828453584, 0.307289748348052, 0.310341588136989, 0.313851203894266, 0.318886739546012, 0.325692342275341, 0.331338245884875, 0.33738088866697, 0.344217009794188, 0.352426458826428, 0.359720355921987, 0.36783824976056, 0.375467849232902, 0.380106645712086, 0.383799371856699, 0.38859076032533, 0.390330309005025, 0.391764673705825, 0.390818603371254, 0.387217432420309, 0.380930642455099, 0.373178969391199, 0.361917680570023, 0.3484895854987, 0.330605804335531, 0.310372106534879}"
"0","4.9999999999999998E-08","[42]{0.330605804335531, 0.310372106534879, 0.287025532149512, 0.261634225105557, 0.233801446230452, 0.201268834080385, 0.16769859640208, 0.132755030818753, 0.0953089566084991, 0.0576492536130172, 0.018311038733621, -0.0229498352128051, -0.0614640533491887, -0.100497084249692, -0.137668492878942, -0.174748346314525, -0.20975294869363, -0.240973269734455, -0.269813155739908, -0.29727971384034, -0.320717843419375, -0.341531390779925, -0.358865840781086, -0.371897196679846, -0.383005893511576, -0.389842014638795, -0.393961998353859, -0.395854139023, -0.394663921505315, -0.390879640167033, -0.386484990870964, -0.38132738162766, -0.374857481275114, -0.366129219478755, -0.359171024759979, -0.350564836555177, -0.343270939459618, -0.338265922205762, -0.335275119212604, -0.331460319476432, -0.331429801078543, -0.330209065162968}"
"0","4.9999999999999998E-08","[42]{-0.331429801078543, -0.330209065162968, -0.331857058648994, -0.335763413578833, -0.342111240339822, -0.348886324671262, -0.35721784729506, -0.365762998704083, -0.373941929338434, -0.382395525553789, -0.391123787350148, -0.39780731648792, -0.404063588055241, -0.408061498178749, -0.406779725467395, -0.405009658389812, -0.400584490695853, -0.390940676962813, -0.377695692278826, -0.360910573439674, -0.338845771765661, -0.312081136816684, -0.281745849314652, -0.248145093238457, -0.211400942179657, -0.170536807405793, -0.127444829586004, -0.0829795238611936, -0.0390025125026133, 0.00531020123274995, 0.0508131324857987, 0.0939356287034765, 0.135410131435128, 0.175999600627989, 0.210454871845086, 0.242773855209928, 0.270087821320913, 0.291847439016032, 0.307778042714283, 0.320107475461588, 0.324624198349214, 0.323922275197759}"
"0","4.9999999999999998E-08","[42]{0.324624198349214, 0.323922275197759, 0.316323194123306, 0.305611236464137, 0.288032639279861, 0.265235396056503, 0.237524690772956, 0.205724520172234, 0.170048513039562, 0.132510883635638, 0.0910363809039864, 0.0479138846863086, 0.00482190686651999, -0.040345322009746, -0.0826438214844109, -0.124942320959076, -0.167668078004191, -0.208623767971724, -0.247229541301776, -0.282600364455554, -0.315621270971851, -0.347268849583127, -0.374399705306775, -0.399333236382389, -0.420757151700725, -0.438793524853343, -0.454754646949482, -0.467602892460907, -0.476392191053045, -0.482251723447804, -0.484815268870511, -0.484754232074732, -0.481122542725896, -0.474957826352244, -0.466199046157995, -0.453655984625465, -0.4389155984449, -0.419719526172487, -0.397135911734354, -0.371775123088289, -0.342752126695499, -0.309273444210862}"
"0","4.9999999999999998E-08","[42]{-0.342752126695499, -0.309273444210862, -0.275703206532556, -0.237066914804615, -0.197240405558989, -0.155796421225226, -0.112734961803328, -0.0659807762368149, -0.0204473265858773, 0.0253302702481762, 0.0697955759729863, 0.114474510483022, 0.155491237246334, 0.1943411577595, 0.229834054504836, 0.258918087693404, 0.285133391480371, 0.304512574140121, 0.318306889986115, 0.327157225374032, 0.327279298965589, 0.320778880215154, 0.31034158813699, 0.291542255037139, 0.265906800810069, 0.234503369381908, 0.199346175013356, 0.1604657361023, 0.117160129497286, 0.0715656430505691, 0.0245673103009416, -0.0238653871494865, -0.0711383854801179, -0.119021751768538, -0.164433127827918, -0.204198600277766, -0.239325276248429, -0.268714493415891, -0.293037656533718, -0.312386320795578, -0.324471606359767, -0.329354550022067}"
"0","4.9999999999999998E-08","[42]{-0.324471606359767, -0.329354550022067, -0.329049366043173, -0.318886739546013, -0.304756721323235, -0.283180214015452, -0.256751281443259, -0.223455709345957, -0.18610119032937, -0.145633794728067, -0.10394566321119, -0.057099922451009, -0.0100710713034917, 0.0365000038756853, 0.0821250087202912, 0.127750013564897, 0.171788061719255, 0.212743751686789, 0.250250862692823, 0.283943173962686, 0.313607056711153, 0.339517176519227, 0.360269687083997, 0.375986661997021, 0.38862127872322, 0.396617098970235, 0.401103303459972, 0.402263002579768, 0.399974122738066, 0.396586580572346, 0.392130894480498, 0.38382989025459, 0.375345775641345, 0.366220774672424, 0.358316509619077, 0.349618766220607, 0.342385905920827, 0.336495855128179, 0.331429801078544, 0.329324031624177, 0.328316924493828, 0.326363747028909}"
