sep=,
"Power Delay Profile"
"Timestamp","1/1/1904 1:00:00 AM"
"Interval","4.99999999999741E-08"
"0","0.14588600228831305"
"4.999999999997411E-08","0"
"9.9999999999948221E-08","0"
"1.4999999999992233E-07","0"
"1.9999999999989644E-07","0"
"2.4999999999987055E-07","0"
"2.9999999999984466E-07","0"
"3.4999999999981877E-07","0"
"3.9999999999979288E-07","0"
"4.4999999999976699E-07","0"
"4.999999999997411E-07","0"
"5.4999999999971521E-07","0"
"5.9999999999968932E-07","0"
"6.4999999999966343E-07","0"
"6.9999999999963754E-07","0"
"7.4999999999961165E-07","0"
"7.9999999999958576E-07","0"
"8.4999999999955987E-07","0"
"8.9999999999953399E-07","0"
"9.499999999995081E-07","0"
"9.9999999999948221E-07","5.1618265772042475E-05"
"1.0499999999994563E-06","0"
"1.0999999999994304E-06","0"
"1.1499999999994045E-06","0"
"1.1999999999993786E-06","0"
"1.2499999999993528E-06","0"
"1.2999999999993269E-06","0"
"1.349999999999301E-06","0"
"1.3999999999992751E-06","0"
"1.4499999999992492E-06","0"
"1.4999999999992233E-06","0"
"1.5499999999991974E-06","0"
"1.5999999999991715E-06","0"
"1.6499999999991456E-06","0"
"1.6999999999991197E-06","0"
"1.7499999999990939E-06","0"
"1.799999999999068E-06","0"
"1.8499999999990421E-06","0"
"1.8999999999990162E-06","0"
"1.9499999999989903E-06","0"
"1.9999999999989644E-06","3.4457617121167158E-06"
"2.0499999999989385E-06","0"
"2.0999999999989126E-06","0"
"2.1499999999988867E-06","0"
"2.1999999999988609E-06","0"
"2.249999999998835E-06","0"
"2.2999999999988091E-06","0"
"2.3499999999987832E-06","0"
"2.3999999999987573E-06","0"
"2.4499999999987314E-06","0"
"2.4999999999987055E-06","0"
"2.5499999999986796E-06","0"
"2.5999999999986537E-06","0"
"2.6499999999986278E-06","0"
"2.699999999998602E-06","0"
"2.7499999999985761E-06","0"
"2.7999999999985502E-06","0"
"2.8499999999985243E-06","0"
"2.8999999999984984E-06","0"
"2.9499999999984725E-06","0"
"2.9999999999984466E-06","2.526506379594814E-07"
"3.0499999999984207E-06","0"
"3.0999999999983948E-06","0"
"3.1499999999983689E-06","0"
"3.1999999999983431E-06","0"
"3.2499999999983172E-06","0"
"3.2999999999982913E-06","0"
"3.3499999999982654E-06","0"
"3.3999999999982395E-06","0"
"3.4499999999982136E-06","0"
"3.4999999999981877E-06","0"
"3.5499999999981618E-06","0"
"3.5999999999981359E-06","0"
"3.6499999999981101E-06","0"
"3.6999999999980842E-06","0"
"3.7499999999980583E-06","0"
"3.7999999999980324E-06","0"
"3.8499999999980065E-06","0"
"3.8999999999979806E-06","0"
"3.9499999999979547E-06","0"

