sep=,
"Channel Response"
"Element 1","Element 2"
"-99999.999999999985","0"
"-96874.999999999985","0"
"-93749.999999999985","0.10484785389973181"
"-90624.999999999985","0.10503768537925917"
"-87500","0.10521541685554799"
"-84375","0.10537299876462233"
"-81250","0.10550613309530907"
"-78125","0.10561445558112072"
"-75000","0.10570133975383607"
"-71875","0.10577334654433125"
"-68750","0.10583937008909124"
"-65625","0.10590955538959324"
"-62499.999999999993","0.10599408507007578"
"-59374.999999999993","0.10610194823543241"
"-56249.999999999993","0.10623981123755179"
"-53124.999999999993","0.10641110514064918"
"-49999.999999999993","0.106615426338406"
"-46874.999999999993","0.1068483159766179"
"-43750","0.10710144412349967"
"-40625","0.1073631816737472"
"-37500","0.10761950319775572"
"-34375","0.10785513288345454"
"-31249.999999999996","0.10805482669103801"
"-28124.999999999996","0.10820467747493728"
"-24999.999999999996","0.10829333443203749"
"-21875","0.10831304078861391"
"-18750","0.10826041092126362"
"-15624.999999999998","0.10813688760052188"
"-12499.999999999998","0.1079488403969449"
"-9375","0.10770728732432348"
"-6249.9999999999991","0.10742724416335396"
"-3124.9999999999995","0.10712673047299891"
"0","0"
"3124.9999999999995","0.10654349881169482"
"6249.9999999999991","0.10629940736109476"
"9375","0.10610899318237728"
"12499.999999999998","0.10598382469695761"
"15624.999999999998","0.10593023893870339"
"18750","0.105948755632082"
"21875","0.10603399350581964"
"24999.999999999996","0.10617510129463309"
"28124.999999999996","0.10635665872365756"
"31249.999999999996","0.1065599535054331"
"34375","0.10676450667540693"
"37500","0.10694970385172087"
"40625","0.10709639310349255"
"43750","0.10718832664672764"
"46874.999999999993","0.10721334786376861"
"49999.999999999993","0.1071642520115985"
"53124.999999999993","0.10703927497770775"
"56249.999999999993","0.1068421880874596"
"59374.999999999993","0.10658199847176172"
"62499.999999999993","0.10627227508311264"
"65625","0.10593014151688442"
"68750","0.105574999168424"
"71875","0.10522706746560395"
"75000","0.10490584978095401"
"78125","0.10462865029441502"
"81250","0.10440927370965736"
"84375","0.10425703186338299"
"87500","0.10417615655463752"
"90624.999999999985","0.10416567756923646"
"93749.999999999985","0.10421977409160703"
"96874.999999999985","0"
